ID Empleado,Función,Departamento,Unidad,Educación,Género,Tipo de Trabajo,Modalidad,Fecha Contratación,Estatus,Fecha Baja
1,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2013-03-06
2,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-03-17
3,Administrativa,Ventas y Marketing,Nuevo León,Sin Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2013-03-26
4,Administrativa,Servicio a cliente,Baja California,Sin Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2013-03-29
5,Operativa,Ingeniería y Tecnología,Nuevo León,Con Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2013-04-18
6,Administrativa,Logistica,Jalisco,Sin Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-05-14
7,Administrativa,Finanzas y Contabilidad,Nuevo León,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2013-06-16
8,Administrativa,Finanzas y Contabilidad,Jalisco,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2013-06-18
9,Administrativa,Ventas y Marketing,Jalisco,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2013-07-08
10,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-07-11
11,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-07-19
12,Administrativa,Logistica,Baja California,Sin Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-07-22
13,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-07-28
14,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-08-06
15,Administrativa,Gerencia y Estrategia,Estado de México,Con Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2013-08-18
16,Administrativa,Recursos Humanos,Jalisco,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-08-27
17,Administrativa,Gerencia y Estrategia,Baja California,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2013-09-01
18,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2013-10-18
19,Operativa,Ingeniería y Tecnología,Nuevo León,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2013-10-29
20,Administrativa,Servicio a cliente,Estado de México,Sin Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2013-11-05
21,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2013-11-07
22,Administrativa,Finanzas y Contabilidad,Estado de México,Con Grado,Hombre,Parcial,Remoto,2013-01-01,Inactivo,2013-12-02
23,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2013-12-06
24,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2013-12-24
25,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2013-12-27
26,Administrativa,Ventas y Marketing,Jalisco,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2013-12-31
27,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-01-05
